SongName,SpotifyId,ArtistSpotifyId,AlbumSpotifyId
Brothers & Sisters,6BMIgTmZAihjW5MKEo7gvV,4gzpq5DPGxSnKTe4SA8HAU,1As5m9qcOZtuFzdlzCkrzI
Easy To Please,6KHZ9SElsSmjQI7B9D0e4P,4gzpq5DPGxSnKTe4SA8HAU,1As5m9qcOZtuFzdlzCkrzI
Only Superstition,4eJNA83TrqZ3S6LSyK8rSf,4gzpq5DPGxSnKTe4SA8HAU,1As5m9qcOZtuFzdlzCkrzI
Midnight - Giorgio Moroder Remix,65cBIwdOMbTPEY8D9V7aRp,4gzpq5DPGxSnKTe4SA8HAU,5pUVbNp8AeHd6Vt8bJWShA
Adventure of a Lifetime - Matoma Remix,2So9pYqQ0JWvFhasJfI871,4gzpq5DPGxSnKTe4SA8HAU,1TbYQD52H9tKtZine3mHHJ
Orphans - Muzi Remix,5x5SYDpamwxXJG675ArNMr,4gzpq5DPGxSnKTe4SA8HAU,2BFaHYLKy6IvNfD0zi5EQW
Everglow - Live from Spotify London,6U8VHaQxzECez4TSt0nmiP,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Viva La Vida - Live from Spotify London,6qt0IWS8y6yGR6gNTEmQzj,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Adventure of a Lifetime - Live from Spotify London,2XiSB3m4WSkxD3xIUrYHfV,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Yellow - Live from Spotify London,33koOQs551ijjVmLbmrcDc,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Christmas Lights - Live from Spotify London,4QVdnpSO5JGMFOEl6ys4RQ,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Something Just Like This - Tokyo Remix,5ffwnb6hqsKZp8cG6q90OW,4gzpq5DPGxSnKTe4SA8HAU,2i3pQGt2uzVfWL8LeFewmI
Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,4gzpq5DPGxSnKTe4SA8HAU,7IzpJkWQqgz1BTutQvSitX
Hypnotised,5LXj9Ch3O9ATm1NoHT8GXn,4gzpq5DPGxSnKTe4SA8HAU,165kxlULHc34us8oU420iw
2000 Miles,5v1SC5d3F8VHwqkXx53f7d,4gzpq5DPGxSnKTe4SA8HAU,0Uk9J6k7ZV1SCsezKHCg6w
Sunrise,6Tb7Zfo4PcSiS4TqQ4NnTh,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Church,1e8D1BCD2afT56Km7UahpB,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Trouble In Town,45PqOIkZ9PdCjsCJQYzx9G,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
BrokEn,1cXXhzPnbrXjNQYbLdUJdy,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Daddy,3pcPPhPAiurm2Ior11SHrz,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
WOTW / POTP,7jib2tJjQ82kTIZZATMvAK,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Arabesque,0ZlVUhjO8c0bOx1D2Btznf,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
When I Need A Friend,0UvUivL70eDwhTWBd8S38I,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Guns,6VzRvCbolqcUswaSPm48rI,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Orphans,03T4ttRCiLXST6MZjeMwmR,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Èkó,2HUtNS9qtfgWbnaagK6AAe,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Cry Cry Cry,4Kwhm5VU4huxmQtBqd1AXo,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Old Friends,3E3zYgQul8EaJioNvD2tv9,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
بنی آدم,6DGzLNiawTtntC9NHzeMeY,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Champion Of The World,6mf7BNgXs8JipPr2QILnyN,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Everyday Life,0h9fnCSnbUgOEgibnQByFv,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Always in My Head,0FMjqbY3aWo1QDbo3GwXib,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
Magic,23khhseCLQqVMCIT1WMAns,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
Ink,6c6W25YoDGjTq3qSPOga5t,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
True Love,0fQuzbQNLcD1ofo7B2NcFI,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
Midnight,4GKk1uNzpxIptBuaY97Dkj,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
Another's Arms,22uzF19LxQW87kOVkR79Fq,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
Oceans,2u4uhtETtcULnkBfFHSnDX,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
O,77yuzxCS3csrgTPSW0pvyk,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr
Something Just Like This - Alesso Remix,50RJdoxw8iajGNtHQe6QeS,4gzpq5DPGxSnKTe4SA8HAU,4uRfYhBBaSX8N3amojmMBE
Something Just Like This - R3hab Remix,0jTFKCb21Yd4UMV5Xk9EUz,4gzpq5DPGxSnKTe4SA8HAU,4uRfYhBBaSX8N3amojmMBE
Something Just Like This - Dimitri Vegas & Like Mike Remix,3LewMbGqmR4IYtifSNxbGz,4gzpq5DPGxSnKTe4SA8HAU,4uRfYhBBaSX8N3amojmMBE
Something Just Like This - Don Diablo Remix,15MTd64KUMG7CF6mOyovsQ,4gzpq5DPGxSnKTe4SA8HAU,4uRfYhBBaSX8N3amojmMBE
Something Just Like This - Jai Wolf Remix,2oF42D2udxtL7Kr6WFFlGb,4gzpq5DPGxSnKTe4SA8HAU,4uRfYhBBaSX8N3amojmMBE
Something Just Like This - ARMNHMR Remix,2f3dQn9jfUwkgnPreXgByt,4gzpq5DPGxSnKTe4SA8HAU,4uRfYhBBaSX8N3amojmMBE
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,4gzpq5DPGxSnKTe4SA8HAU,4JPguzRps3kuWDD5GS6oXr
Fix You,7ESEZENIyK9gaGndSno13T,4gzpq5DPGxSnKTe4SA8HAU,6NDEvf5COr1ipkucUC8e3a
A Head Full of Dreams - Live in Buenos Aires,5H8lr4az4Vo3LloH67yVRt,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Yellow - Live in Buenos Aires,2s2Ld1Xm7t88gSVvohNbPL,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Every Teardrop Is a Waterfall - Live in Buenos Aires,4Q0yfgpERfkp59Pf2tdI4q,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
The Scientist - Live in Buenos Aires,1aZhbOdRqshLS6uPjiO8Y4,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
God Put a Smile upon Your Face - Live in Buenos Aires,2q8WO601qIwLwV4DgXDCiO,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Paradise - Live in Buenos Aires,314gi4w3RdZxlocdWw0Khr,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Always in My Head - Live in Buenos Aires,0oAchaVoTWj6lXTR6f2dSU,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Magic - Live in Buenos Aires,6EqxH0njjZuuI3gFZN3Z1o,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Everglow - Live in Buenos Aires,4U5Cr41d1K6s48GAndvCdM,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Clocks - Live in Buenos Aires,4cHZ7W5R81upaIGZfqWxbB,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Midnight - Live in Buenos Aires,62OqszvOYSuonp6Buj4P74,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Charlie Brown - Live in Buenos Aires,3ksF058sVZ21EgQdRLbUyI,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Hymn for the Weekend - Live in Buenos Aires,0w6X9iRKrMyDpRRtbu4tE0,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Fix You - Live in Buenos Aires,7mGJlNOAOmJ5ptkmujg1Gv,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Viva La Vida - Live in Buenos Aires,4Y9lVjRD82aJOQ2v13UIoF,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Adventure of a Lifetime - Live in Buenos Aires,3ERJLifTcWBFNZRl6QAqEC,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
De Música Ligera - Live in Buenos Aires,1aQKPnGNa5vK7aA6lTm4JS,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Colour Spectrum - Live in Buenos Aires,5MVyXzR1HARqSkQjhPrNBO,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
In My Place - Live in Buenos Aires,0o7htzPrB8bP0jnyjiqUdj,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Amor Argentina - Live in Buenos Aires,1rAZrYT0Ad4F1RiDaxYknE,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Something Just like This - Live in Buenos Aires,0hreO9tj5yiYftUuVThaea,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
A Sky Full of Stars - Live in Buenos Aires,1EMFnyhETKfI52uhI4baGY,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Up&Up - Live in Buenos Aires,3glegOEXSkk8HanJe7ZB08,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
End Credits - Live in Buenos Aires,6c64ANGY0NfO2YMpbcJUOR,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2
Orphans,6muOWhMh7Tf0UFUtMDBhUR,4gzpq5DPGxSnKTe4SA8HAU,6DX4K0afv5l01Pf6lymJuB
Arabesque,5dIjSE3als5cU6t1kiNt5t,4gzpq5DPGxSnKTe4SA8HAU,6DX4K0afv5l01Pf6lymJuB
Up&Up - Freedo Remix,2KIgC0WnwwcDPgv8ClxXfi,4gzpq5DPGxSnKTe4SA8HAU,46ElgN92j4wktUnUkxUFKR
Up&Up,4a8pP5X2lxwU5aprY44jLn,4gzpq5DPGxSnKTe4SA8HAU,39CemyWzo6fJbvbAyICDrj
Champion Of The World - Live at NPR's Tiny Desk,46mtcgDcwjjcherBLHMWH3,4gzpq5DPGxSnKTe4SA8HAU,1YFEfpOP0NJFr4my1WZJgA
Brothers And Sisters,4lWNA25eeTaPPKgEFecIcN,4gzpq5DPGxSnKTe4SA8HAU,5mGOgZOIjkU6EmB6T9ySEK
Sunrise,2HQAeoYBn8H72Jo6UyKt6G,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Church,3eJUFA6IF9YqXstE1hd3GQ,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Trouble in Town,54XS0PDjYnK85mMByQ03we,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
BrokEn,7tB5i1UdZnzMMIJhdeXlNq,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Daddy,7kWsEOUrlBnR2ITKnqNYuo,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
WOTW / POTP,0s4HHbfHJuvC25U5BQoY28,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Arabesque,1yQhKMf4RKZYv9xDtY2HYT,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
When I Need A Friend,34zYBKIXJD7AO3XoygjdOm,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Guns,7c3iZEcAtEnz3Ew7qQhghi,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Orphans,6qQErqahQ4YWT841F7dV56,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Èkó,41I6D0eHongsAtJrJRaTiU,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Cry Cry Cry,4a01t5uGbImj3tqdpsXZBF,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Old Friends,71fbBfMQgUovPGfOBRK2HT,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
بنی آدم,7EfEimN9OWxbCKvv2jDEXa,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Champion Of The World,2Ne9aiyDTwyPyONOdUZ3C8,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
Everyday Life,3l80ChsWwZKAog5KSmcdIG,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o
